company,location,title scraped for,Country,State,age,Position,upper_salary,lower_salary,payment_frequency,year_of_exp,contract_type,eligibility,title_cleaned,skills_list
Offerzen,Lagos,Data Scientist,Nigeria,Lagos,,Senior Level,,,,5.0,Full-time,,Senior Software Engineer,"['asp', 'AWS', 'R', 'D', 'C']"
GVA Partners,Lagos,Data Scientist,Nigeria,Lagos,,,,,,4.0,,undergraduate,Data Scientist,"['Flask', 'MySQL', 'Keras', 'R', 'server', 'Excel', 'Object-Oriented Programming', 'Regression', 'PostgreSQL', 'Prescriptive Analytics', 'KNN', 'Django', 'SQL', 'MongoDB', 'Statistics', 'Tableau', 'Go', 'PL/SQL', 'asp', 'Python', 'D', 'Deep Learning', 'C']"
Horizonpay Nigeria Limited,Lagos,Data Scientist,Nigeria,Lagos,,,,700000.0,Monthly,3.0,Full-time,undergraduate,Full stack developer,['R']
,Lagos,Data Scientist,Nigeria,Lagos,,Senior Level,,,,2.0,,undergraduate,Superintendent Pharmaceutical Officer,"['Go', 'Time management skill', 'R', 'C', 'Excel', 'Presentation']"
Worley,Abeokuta,Data Scientist,Nigeria,Abeokuta,,,,,,5.0,,hs,Project HSE Advisor I,"['asp', 'MS Office', 'R', 'D', 'C']"
Worley,Abeokuta,Data Scientist,Nigeria,Abeokuta,,,,,,8.0,,hs,Field Engineers,['R']
Branch International,Abuja,Data Scientist,Nigeria,Abuja,,,,,,5.0,Full-time,,Machine Learning Engineer,"['Machine Learning', 'SQL', 'Python']"
Worley,Abeokuta,Data Scientist,Nigeria,Abeokuta,,Senior Level,,,,15.0,,postgraduate,Lead Civil Structural Engineer,"['D', 'C', 'MS Office']"
,Nigeria,Data Scientist,Nigeria,Nigeria,,Senior Level,,,,4.0,,,Senior Data Scientist,"['D', 'C', 'ML', 'R']"
AECOM,Abeokuta,Data Scientist,Nigeria,Abeokuta,,,,,,4.0,,postgraduate,Graduate Transportation Planner,"['PowerPoint', 'Go', 'client', 'D', 'C', 'Excel']"
Canonical - Jobs,Lagos,Data Scientist,Nigeria,Lagos,,,,,,,,undergraduate,"Data Scientist, Commercial Systems","['D', 'C', 'R']"
Worley,Abeokuta,Data Scientist,Nigeria,Abeokuta,,,,,,3.0,,undergraduate,People Advisor I,"['C', 'Go', 'R']"
Strategic Outsourcing Limited,Enugu,Data Scientist,Nigeria,Enugu,,,,,,5.0,Full-time,undergraduate,Licensed Medical Laboratory Scientist,"['D', 'C', 'R']"
